G,PER,TS%,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,TOV,PPG,RPG,APG,SPG,BPG,name,MVP Awards,1st Team,2nd Team,3rd Team,All-NBA Teams,All Star Selections,isHOF
114,12.479071407825446,0.3203333333333333,0.149,9.949209586945463,13.009962314342772,1.6482685648326214,1.410624278568677,15.085098559901937,18.90649185336037,-2.0,-2.3267202000288334,0.5598788286771945,186,598,0.2926666666666667,66.64511016008876,190.81344111586623,0.2487963155163492,56,100,221.81949605497584,3.754385964912281,5.911510018877402,1.6666666666666667,1.0499224331444568,0.6439542140440296,Al Guokas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,10.649999999999999,0.38249999999999995,0.124,9.949209586945463,28.25,1.6482685648326214,1.410624278568677,15.085098559901937,18.90649185336037,-0.5,-2.3267202000288334,0.5598788286771945,41,122,0.354,44.430073440059175,127.20896074391082,0.2487963155163492,9,15,147.87966403665055,2.1666666666666665,0.9761904761904762,1.0476190476190477,1.8998596409280644,1.1652504825558632,Al Hairston,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1132,13.240000000000004,0.5075,0.24789999999999995,11.14,9.499999999999996,1.5699999999999998,0.62,12.674999999999997,23.025,50.800000000000004,-1.8750000000000004,0.34500000000000003,6055,13613,0.42845000000000005,1275.0,3541.0,0.3135,2606,3567,2168.0,14.126325088339222,5.682862190812721,1.6784452296819787,0.8931095406360424,0.2579505300353357,Al Harrington,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,12.0,0.44100000000000006,0.8175,16.85,1.3,1.6482685648326214,1.410624278568677,15.085098559901937,18.90649185336037,0.7,-2.3267202000288334,0.5598788286771945,69,162,0.3015,44.430073440059175,127.20896074391082,0.2487963155163492,56,80,147.87966403665055,3.9591836734693877,3.020408163265306,0.16326530612244897,1.6284511207954837,0.9987861279050255,Al Henry,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,19.11,0.5698999999999999,0.23120000000000002,14.780000000000001,14.959999999999999,1.3199999999999998,2.95,11.55,19.669999999999998,70.60000000000001,2.95,2.7199999999999998,3923,7427,0.5311,195.0,563.0,0.3369,1199,1603,1031.0,14.303405572755418,8.681114551083592,2.981424148606811,0.826625386996904,1.2136222910216719,Al Horford,0.0,0.0,0.0,1.0,1.0,5.0,0.0
2,-9.2,0.0,0.0,9.949209586945463,6.3,1.6482685648326214,1.410624278568677,15.085098559901937,18.90649185336037,-0.1,-2.3267202000288334,0.5598788286771945,0,3,0.0,22.215036720029588,63.60448037195541,0.2487963155163492,0,0,73.93983201832528,0.0,0.0,0.5,19.948526229744676,12.235130066836563,Al Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0
879,20.053846153846152,0.5274615384615384,0.24223076923076928,16.83076923076923,9.453846153846154,1.2307692307692306,3.184615384615384,8.407692307692306,25.153846153846153,69.39999999999999,-0.16923076923076938,1.1307692307692305,6050,12136,0.4993846153846154,8.0,63.0,0.11273789469482295,1983,2797,1190.0,16.03071672354949,8.58589306029579,1.4982935153583619,0.6962457337883959,1.217292377701934,Al Jefferson,0.0,0.0,0.0,1.0,1.0,0.0,0.0
126,14.875,0.47725,0.7135,9.949209586945463,13.009962314342772,1.6482685648326214,1.410624278568677,15.085098559901937,18.90649185336037,4.0,-2.3267202000288334,0.5598788286771945,186,524,0.41125,88.86014688011835,254.41792148782164,0.2487963155163492,188,302,295.7593280733011,4.444444444444445,1.8492063492063493,1.619047619047619,1.266573093952043,0.7768336550372421,Al Masino,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,12.479071407825446,0.446,1.0,9.949209586945463,13.009962314342772,1.6482685648326214,1.410624278568677,15.085098559901937,18.90649185336037,0.1,-2.3267202000288334,0.5598788286771945,5,21,0.23800000000000002,22.215036720029588,63.60448037195541,0.2487963155163492,17,21,73.93983201832528,3.375,28.079672589667656,0.5,4.987131557436169,3.0587825167091407,Al Miksis,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,11.539535703912723,0.4185,0.34249999999999997,9.949209586945463,13.009962314342772,1.6482685648326214,1.410624278568677,15.085098559901937,18.90649185336037,3.185796217205602,-2.3267202000288334,0.5598788286771945,243,675,0.3675,44.430073440059175,127.20896074391082,0.2487963155163492,145,203,147.87966403665055,7.511904761904762,2.8214285714285716,2.130952380952381,0.9499298204640322,0.5826252412779316,Al Roges,0.0,0.0,0.0,0.0,0.0,0.0,0.0
