name,position,years_played,All Star Selections,1st Team,2nd Team,3rd Team,All-NBA Teams,MVP Awards,G,PER,TS%,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,TOV,PPG,RPG,APG,SPG,BPG,isHOF
Jack Twyman,F-G,11,6,0.0,2.0,0.0,2.0,0.0,823.0,17.38181818181818,0.5004545454545455,0.30263636363636365,9.94920958694546,12.28087825718954,1.6482685648326216,1.4106242785686767,15.08509855990194,18.906491853360368,75.10000000000001,-2.326720200028834,0.5598788286771946,6237.0,13873.0,0.44954545454545447,244.36540392032546,699.6492840915096,0.24879631551634918,3366.0,4325.0,813.3381522015782,19.246658566221143,6.590522478736331,2.261239368165249,0.5332534350600036,0.3270630151523747,1
John Havlicek,F-G,16,13,4.0,7.0,0.0,11.0,0.0,1270.0,17.33125,0.49062500000000003,0.2715,8.60585479347273,18.28249528929285,1.5956846383224275,1.1010541915159653,14.973529899908073,19.056086112525346,131.70000000000002,-1.1808701375198234,1.1599166947155712,10513.0,23930.0,0.43900000000000006,355.4405875204735,1017.6716859512868,0.24879631551634915,5369.0,6589.0,1313.0974802748792,20.783464566929133,6.304724409448819,4.814173228346457,0.720368170908963,0.30407311926803493,1
Sam Jones,G-F,12,5,0.0,3.0,0.0,3.0,0.0,871.0,18.424999999999997,0.5000833333333333,0.2659166666666667,9.94920958694546,13.530811350033282,1.6482685648326214,1.4106242785686767,15.085098559901942,18.906491853360368,92.4,-2.326720200028834,0.5598788286771946,6271.0,13745.0,0.4535,266.58044064035505,763.253764463465,0.24879631551634918,2869.0,3572.0,887.2779842199035,17.69345579793341,4.942594718714122,2.5361653272101035,0.549672364539463,0.33713331986690875,1
Nate Thurmond,C-F,14,7,0.0,0.0,0.0,0.0,0.0,1042.0,15.581250000000002,0.46256249999999993,0.38643750000000004,13.559029194288643,10.375622644646423,1.3114178530203884,2.300390174105423,15.085098559901944,18.906491853360368,80.30000000000001,-1.3604501250180212,0.7686742679232468,5663.0,13442.0,0.41956250000000006,355.4405875204735,1017.6716859512868,0.24879631551634915,3457.0,5212.0,1183.0373122932044,14.187140115163148,14.279270633397314,2.5614203454894433,0.5239640351198595,0.8595994254671125,1
Billy Cunningham,F-C,11,5,3.0,1.0,0.0,4.0,1.0,654.0,18.966666666666665,0.4991111111111111,0.4073333333333333,11.305116437191923,17.08888888888889,1.6375422170920388,1.2527077722200821,15.085098559901938,18.906491853360368,63.1,-1.2430046000224262,0.9576835334155958,5116.0,11467.0,0.4421111111111111,199.9353304802663,572.4403233475987,0.2487963155163492,3394.0,4717.0,665.4584881649275,20.834862385321102,10.149847094801224,4.013761467889908,0.6028736501780205,0.3307214387396206,1
Tom Heinsohn,F-C,9,6,0.0,4.0,0.0,4.0,0.0,654.0,17.733333333333334,0.4580000000000001,0.2857777777777778,9.949209586945463,12.997744279415798,1.6482685648326214,1.410624278568677,15.085098559901938,18.906491853360368,59.800000000000004,-2.326720200028834,0.5598788286771946,4773.0,11787.0,0.4027777777777778,199.9353304802663,572.4403233475987,0.2487963155163492,2648.0,3353.0,665.4584881649275,18.64525993883792,8.790519877675841,2.015290519877676,0.549042006323248,0.33674669908724486,1
Rick Barry,F,15,12,5.0,1.0,0.0,6.0,0.0,794.0,19.85,0.5094000000000001,0.2531,8.179841917389094,20.439999999999998,2.2344805694497865,0.9331872835706031,14.719568991931357,20.064544297352256,93.4,1.38198393999135,2.757963648603158,7252.0,16163.0,0.4471,272.9353304802663,793.4403233475987,0.2569166839647143,3818.0,4243.0,1091.578824128277,23.16750629722922,6.508816120906801,5.05919395465995,1.541172742290262,0.43124783425821084,1
Walt Frazier,G,13,7,4.0,2.0,0.0,6.0,0.0,825.0,18.03076923076923,0.5257692307692309,0.3193846153846155,7.726740673910493,23.49230769230769,2.060739337615056,0.9279804362624661,15.588537353770722,19.651147579507974,113.69999999999999,-0.08925547693638476,1.8660979209279358,6130.0,12516.0,0.47515384615384615,266.58044064035505,764.253764463465,0.22965813739970692,3321.0,4226.0,878.3983201832528,18.886060606060607,5.8545454545454545,6.109090909090909,1.1156149269781044,0.25432916460853183,1
Pete Maravich,G,10,5,2.0,2.0,0.0,4.0,0.0,701.0,17.21666666666667,0.50025,0.28500000000000003,5.233333333333333,21.058333333333337,1.5454004745414884,0.6193227363088359,14.34964082660946,23.112120247793545,47.0,-1.5566800500072082,1.0233030405026322,6431.0,14568.0,0.44283333333333325,219.9353304802663,602.4403233475987,0.3576805699705952,3655.0,4449.0,1129.578824128277,23.59058487874465,4.029957203994294,5.20114122681883,1.0423554313530214,0.26734776091443563,1
Bobby Wanzer,G,9,5,0.0,3.0,0.0,3.0,0.0,508.0,16.29476785195636,0.5030000000000001,0.56925,9.949209586945463,13.009962314342772,1.6482685648326214,1.410624278568677,15.085098559901937,18.906491853360368,56.99999999999999,-2.326720200028834,0.5598788286771946,2066.0,5235.0,0.40412499999999996,177.7202937602367,508.83584297564323,0.24879631551634923,2179.0,2722.0,591.5186561466022,12.423228346456693,4.337868859679806,3.236220472440945,0.6283000387321158,0.385358427301939,1
Clyde Lovellette,C-F,11,4,0.0,1.0,0.0,1.0,0.0,704.0,20.71818181818182,0.4876363636363637,0.2811818181818182,9.94920958694546,13.009962314342772,1.6482685648326216,1.4106242785686767,15.08509855990194,18.906491853360368,70.59999999999998,-2.326720200028834,0.5598788286771946,4784.0,10795.0,0.44118181818181806,244.36540392032546,699.6492840915096,0.24879631551634918,2379.0,3141.0,813.3381522015782,16.970170454545453,9.464488636363637,1.5582386363636365,0.6233914446795212,0.3823478145886426,1
Wes Unseld,C-F,13,5,1.0,0.0,0.0,1.0,1.0,984.0,15.753846153846155,0.535,0.33,16.622955321068535,13.415384615384616,1.4877956018587004,1.1117785686802604,16.297375926085955,16.696802052326408,110.20000000000002,1.6820306922966024,2.7461072417989203,4369.0,8586.0,0.5087692307692308,247.36540392032546,705.6492840915096,0.28744303620614164,1883.0,2976.0,1244.4584881649275,10.796747967479675,13.992886178861788,3.8841463414634148,0.8409403072128524,0.4973082323865504,1
Lenny Wilkens,G,15,9,0.0,0.0,0.0,0.0,0.0,1077.0,16.366666666666667,0.5066,0.4833333333333334,8.472806391296976,24.162656617158067,1.7484994228549384,1.2758743747595196,15.085098559901944,18.906491853360368,95.6,-1.803157506691656,0.7318949848535686,6189.0,14327.0,0.429,333.2255508004439,954.0672055793314,0.24879631551634915,5394.0,6973.0,1109.0974802748792,16.501392757660167,4.670380687093779,6.695450324976787,0.6431399089817657,0.3195110322541789,1
